id,date,province,cumulative_recovered
807,2020-04-09,BC,858
808,2020-04-09,BC,858
809,2020-04-08,BC,838
810,2020-04-08,BC,838
811,2020-04-07,BC,805
812,2020-04-07,BC,805
813,2020-04-06,BC,783
814,2020-04-06,BC,783
815,2020-04-05,BC,704
816,2020-04-05,BC,704
817,2020-04-02,BC,641
818,2020-04-02,BC,641
819,2020-04-01,BC,606
820,2020-04-01,BC,606
821,2020-03-12,BC,4
822,2020-03-12,BC,4
823,2020-03-11,BC,4
824,2020-03-11,BC,4
825,2020-03-10,BC,4
826,2020-03-10,BC,4
827,2020-03-09,BC,4
828,2020-03-09,BC,4
829,2020-03-08,BC,4
830,2020-03-08,BC,4
831,2020-03-07,BC,4
832,2020-03-07,BC,4
833,2020-03-06,BC,4
834,2020-03-06,BC,4
835,2020-03-05,BC,4
